"path","bytes","lines","is_binary"
"docs_2.0/BODY_MATTER/OPT_IN_FEATURES_OF_STROID/RUNTIME_LAYERS.md","5932","187","False"
"docs_2.0/BODY_MATTER/OPT_IN_FEATURES_OF_STROID/STORE_FEATURES.md","6278","232","False"
"docs_2.0/BODY_MATTER/PERSIST_OF_STROID/FAILURE_AND_RECOVERY.md","3194","97","False"
"docs_2.0/BODY_MATTER/PERSIST_OF_STROID/INTRODUCTION.md","4984","156","False"
"docs_2.0/BODY_MATTER/PERSIST_OF_STROID/REAL_USE.md","3204","96","False"
"docs_2.0/BODY_MATTER/PERSIST_OF_STROID/STORAGE_AND_MIGRATIONS.md","3632","126","False"
"docs_2.0/BODY_MATTER/PHILOSOPHY_OF_STROID/MINIMAL_ABSTRACTION.md","2031","69","False"
"docs_2.0/BODY_MATTER/PHILOSOPHY_OF_STROID/OPTIONAL_COMPLEXITY_AND_COMPARISON.md","3342","103","False"
"docs_2.0/BODY_MATTER/PHILOSOPHY_OF_STROID/PREDICTABLE_STATE_MUTATION.md","2226","76","False"
"docs_2.0/BODY_MATTER/PHILOSOPHY_OF_STROID/RUNTIME_OBSERVABILITY.md","2277","73","False"
"docs_2.0/BODY_MATTER/PHILOSOPHY_OF_STROID/WHY_THE_MIND_NEEDS_STRUCTURE.md","3172","96","False"
"docs_2.0/BODY_MATTER/REACT_OF_STROID/FORM_AND_ASYNC.md","3953","127","False"
"docs_2.0/BODY_MATTER/REACT_OF_STROID/HOOKS.md","4160","141","False"
"docs_2.0/BODY_MATTER/REACT_OF_STROID/INTRODUCTION.md","4775","151","False"
"docs_2.0/BODY_MATTER/REACT_OF_STROID/REAL_USE.md","5014","157","False"
"docs_2.0/BODY_MATTER/ROADMAP_OF_STROID/ROADMAP.md","6348","183","False"
"docs_2.0/BODY_MATTER/RUNTIME_OPERATIONS_OF_STROID/ADMIN_OPERATIONS.md","2728","96","False"
"docs_2.0/BODY_MATTER/RUNTIME_OPERATIONS_OF_STROID/INSPECTION_TOOLS.md","2683","78","False"
"docs_2.0/BODY_MATTER/RUNTIME_OPERATIONS_OF_STROID/INTRODUCTION.md","3419","107","False"
"docs_2.0/BODY_MATTER/RUNTIME_OPERATIONS_OF_STROID/REAL_USE.md","2526","81","False"
"docs_2.0/BODY_MATTER/SELECTORS_OF_STROID/CREATE_SELECTOR.md","3106","90","False"
"docs_2.0/BODY_MATTER/SELECTORS_OF_STROID/INTRODUCTION.md","4002","129","False"
"docs_2.0/BODY_MATTER/SELECTORS_OF_STROID/REAL_USE.md","2936","90","False"
"docs_2.0/BODY_MATTER/SELECTORS_OF_STROID/SUBSCRIBE_WITH_SELECTOR.md","3471","99","False"
"docs_2.0/BODY_MATTER/SERVER_OF_STROID/HYDRATE_FLOW.md","3123","88","False"
"docs_2.0/BODY_MATTER/SERVER_OF_STROID/INTRODUCTION.md","3185","106","False"
"docs_2.0/BODY_MATTER/SERVER_OF_STROID/REAL_USE.md","2650","82","False"
"docs_2.0/BODY_MATTER/SERVER_OF_STROID/REQUEST_SCOPE.md","2829","92","False"
"docs_2.0/BODY_MATTER/SYNC_OF_STROID/CONFLICTS_AND_RECOVERY.md","3775","113","False"
"docs_2.0/BODY_MATTER/SYNC_OF_STROID/INTRODUCTION.md","4346","159","False"
"docs_2.0/BODY_MATTER/SYNC_OF_STROID/REAL_USE.md","4300","136","False"
